tow_id,segment_type,latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C)
55167,2,40.4263,-68.1185,185.111,11.143
55167,2,40.4263,-68.1185,184.296,11.168
55167,2,40.4263,-68.1185,183.564,11.178
55167,2,40.4263,-68.1185,182.977,11.187
55167,2,40.4263,-68.1185,182.307,11.208
55167,2,40.4263,-68.1185,181.464,11.235
55167,2,40.4263,-68.1185,180.572,11.27
55167,2,40.4263,-68.1185,179.745,11.3
55167,2,40.4263,-68.1185,178.831,11.339
55167,2,40.4263,-68.1185,177.995,11.36
55167,2,40.4263,-68.1185,177.361,11.384
55167,2,40.4263,-68.1185,176.883,11.438
55167,2,40.4263,-68.1185,173.688,11.522
55167,2,40.4263,-68.1185,172.557,11.537
55167,2,40.4263,-68.1185,171.689,11.552
55167,2,40.4263,-68.1185,171.186,11.558
55167,2,40.4263,-68.1185,170.792,11.572
55167,2,40.4263,-68.1185,170.117,11.584
55167,2,40.4263,-68.1185,169.691,11.585
55167,2,40.4263,-68.1185,166.906,11.579
55167,2,40.4263,-68.1185,165.805,11.582
55167,2,40.4263,-68.1185,164.831,11.588
55167,2,40.4263,-68.1185,164.04,11.596
55167,2,40.4263,-68.1185,163.217,11.6
55167,2,40.4263,-68.1185,162.202,11.6
55167,2,40.4263,-68.1185,161.092,11.598
55167,2,40.4263,-68.1185,159.96,11.591
55167,2,40.4263,-68.1185,158.895,11.582
55167,2,40.4263,-68.1185,157.917,11.565
55167,2,40.4263,-68.1185,156.82,11.549
55167,2,40.4263,-68.1185,155.648,11.545
55167,2,40.4263,-68.1185,154.542,11.539
55167,2,40.4263,-68.1185,153.473,11.514
55167,2,40.4263,-68.1185,152.372,11.462
55167,2,40.4263,-68.1185,151.372,11.387
55167,2,40.4263,-68.1185,150.576,11.336
55167,2,40.4263,-68.1185,149.749,11.318
55167,2,40.4263,-68.1185,148.669,11.296
55167,2,40.4263,-68.1185,147.374,11.266
55167,2,40.4263,-68.1185,146.055,11.214
55167,2,40.4263,-68.1185,144.736,11.122
55167,2,40.4263,-68.1185,143.469,11.048
55167,2,40.4263,-68.1185,142.52,10.965
55167,2,40.4263,-68.1185,141.643,10.874
55167,2,40.4263,-68.1185,140.572,10.785
55167,2,40.4263,-68.1185,139.411,10.662
55167,2,40.4263,-68.1185,138.74,10.616
55167,2,40.4263,-68.1185,138.202,10.605
55167,2,40.4263,-68.1185,137.919,10.567
55167,2,40.4263,-68.1185,136.589,10.522
55167,2,40.4263,-68.1185,135.798,10.5
55167,2,40.4263,-68.1185,135.012,10.474
55167,2,40.4263,-68.1185,134.165,10.461
55167,2,40.4263,-68.1185,133.079,10.444
55167,2,40.4263,-68.1185,131.74,10.409
55167,2,40.4263,-68.1185,130.37,10.367
55167,2,40.4263,-68.1185,129.005,10.363
55167,2,40.4263,-68.1185,127.753,10.282
55167,2,40.4263,-68.1185,126.717,10.183
55167,2,40.4263,-68.1185,125.622,10.11
55167,2,40.4263,-68.1185,124.176,10.072
55167,2,40.4263,-68.1185,122.649,10.052
55167,2,40.4263,-68.1185,121.29,10.025
55167,2,40.4263,-68.1185,119.992,9.99
55167,2,40.4263,-68.1185,118.627,9.978
55167,2,40.4263,-68.1185,117.287,9.996
55167,2,40.4263,-68.1185,115.826,10.011
55167,2,40.4263,-68.1185,114.199,10.003
55167,2,40.4263,-68.1185,112.706,10.005
55167,2,40.4263,-68.1185,111.627,10.017
55167,2,40.4263,-68.1185,110.78,10.034
55167,2,40.4263,-68.1185,109.581,10.059
55167,2,40.4263,-68.1185,107.878,9.974
55167,2,40.4263,-68.1185,106.096,9.902
55167,2,40.4263,-68.1185,104.449,9.881
55167,2,40.4263,-68.1185,103.018,9.87
55167,2,40.4263,-68.1185,101.836,9.867
55167,2,40.4263,-68.1185,100.882,9.863
55167,2,40.4263,-68.1185,99.5835,9.86
55167,2,40.4263,-68.1185,97.9295,9.859
55167,2,40.4263,-68.1185,96.5245,9.857
55167,2,40.4263,-68.1185,95.8695,9.852
55167,2,40.4263,-68.1185,95.1845,9.857
55167,2,40.4263,-68.1185,94.7085,9.877
55167,2,40.4263,-68.1185,93.1255,9.864
55167,2,40.4263,-68.1185,92.5365,9.86
55167,2,40.4263,-68.1185,91.9535,9.85
55167,2,40.4263,-68.1185,91.1725,9.842
55167,2,40.4263,-68.1185,90.0305,9.856
55167,2,40.4263,-68.1185,88.5045,9.916
55167,2,40.4263,-68.1185,86.7485,9.902
55167,2,40.4263,-68.1185,85.2165,9.904
55167,2,40.4263,-68.1185,83.8675,9.924
55167,2,40.4263,-68.1185,82.5185,9.917
55167,2,40.4263,-68.1185,81.2095,9.671
55167,2,40.4263,-68.1185,80.2045,9.463
55167,2,40.4263,-68.1185,79.2665,9.324
55167,2,40.4263,-68.1185,78.3835,9.249
55167,2,40.4263,-68.1185,77.3995,9.219
55167,2,40.4263,-68.1185,76.4005,9.135
55167,2,40.4263,-68.1185,75.2485,9.003
55167,2,40.4263,-68.1185,73.8025,8.883
55167,2,40.4263,-68.1185,72.3115,8.798
55167,2,40.4263,-68.1185,70.8555,8.659
55167,2,40.4263,-68.1185,69.5875,8.484
55167,2,40.4263,-68.1185,68.5775,8.42
55167,2,40.4263,-68.1185,67.6395,8.408
55167,2,40.4263,-68.1185,66.3355,8.416
55167,2,40.4263,-68.1185,64.7685,8.407
55167,2,40.4263,-68.1185,63.1295,8.395
55167,2,40.4263,-68.1185,61.8055,8.389
55167,2,40.4263,-68.1185,61.3845,8.386
55167,2,40.4263,-68.1185,60.3085,8.364
55167,2,40.4263,-68.1185,60.1165,8.355
55167,2,40.4263,-68.1185,56.0475,8.145
55167,2,40.4263,-68.1185,54.8555,7.962
55167,2,40.4263,-68.1185,53.4145,7.774
55167,2,40.4263,-68.1185,52.1265,7.686
55167,2,40.4263,-68.1185,50.9345,7.579
55167,2,40.4263,-68.1185,49.9755,7.491
55167,2,40.4263,-68.1185,49.0065,7.448
55167,2,40.4263,-68.1185,47.6315,7.431
55167,2,40.4263,-68.1185,46.0695,7.421
55167,2,40.4263,-68.1185,44.8065,7.425
55167,2,40.4263,-68.1185,44.3045,7.434
55167,2,40.4263,-68.1185,44.0505,7.439
55167,2,40.4263,-68.1185,41.9295,7.481
55167,2,40.4263,-68.1185,41.1435,7.477
55167,2,40.4263,-68.1185,40.6825,7.469
55167,2,40.4263,-68.1185,35.4315,7.204
55167,2,40.4263,-68.1185,34.1025,7.159
55167,2,40.4263,-68.1185,32.7885,7.088
55167,2,40.4263,-68.1185,31.3985,6.916
55167,2,40.4263,-68.1185,29.8005,6.743
55167,2,40.4263,-68.1185,28.3245,6.653
55167,2,40.4263,-68.1185,26.8535,6.536
55167,2,40.4263,-68.1185,25.5295,6.311
55167,2,40.4263,-68.1185,24.2255,6.205
55167,2,40.4263,-68.1185,22.9015,6.175
55167,2,40.4263,-68.1185,21.4655,6.121
55167,2,40.4263,-68.1185,19.7715,6.071
55167,2,40.4263,-68.1185,18.0875,6.055
55167,2,40.4263,-68.1185,16.5455,6.163
55167,2,40.4263,-68.1185,15.1755,6.303
55167,2,40.4263,-68.1185,13.8315,6.388
55167,2,40.4263,-68.1185,12.2585,6.509
55167,2,40.4263,-68.1185,10.6755,6.588
55167,2,40.4263,-68.1185,9.1185,6.578
55167,2,40.4263,-68.1185,7.5405,6.593
55167,2,40.4263,-68.1185,6.0745,6.611
55167,2,40.4263,-68.1185,4.7605,6.641
55167,2,40.4263,-68.1185,3.2695,6.652
55167,2,40.4263,-68.1185,1.7575,6.659
55225,2,40.7015,-66.7747,222.258,10.248
55225,2,40.7015,-66.7747,220.786,10.248
55225,2,40.7015,-66.7747,219.822,10.247
55225,2,40.7015,-66.7747,218.294,10.244
55225,2,40.7015,-66.7747,216.43,10.248
55225,2,40.7015,-66.7747,214.486,10.264
55225,2,40.7015,-66.7747,212.814,10.267
55225,2,40.7015,-66.7747,211.408,10.283
55225,2,40.7015,-66.7747,209.971,10.304
55225,2,40.7015,-66.7747,208.389,10.319
55225,2,40.7015,-66.7747,206.673,10.328
55225,2,40.7015,-66.7747,204.786,10.336
55225,2,40.7015,-66.7747,202.876,10.347
55225,2,40.7015,-66.7747,200.965,10.356
55225,2,40.7015,-66.7747,199.169,10.374
55225,2,40.7015,-66.7747,197.501,10.413
55225,2,40.7015,-66.7747,195.829,10.492
55225,2,40.7015,-66.7747,194.087,10.623
55225,2,40.7015,-66.7747,192.337,10.693
55225,2,40.7015,-66.7747,190.661,10.799
55225,2,40.7015,-66.7747,188.898,10.994
55225,2,40.7015,-66.7747,186.902,11.138
55225,2,40.7015,-66.7747,184.663,11.273
55225,2,40.7015,-66.7747,182.462,11.351
55225,2,40.7015,-66.7747,181.223,11.387
55225,2,40.7015,-66.7747,180.827,11.396
55225,2,40.7015,-66.7747,176.902,11.428
55225,2,40.7015,-66.7747,175.038,11.45
55225,2,40.7015,-66.7747,173.262,11.473
55225,2,40.7015,-66.7747,171.436,11.487
55225,2,40.7015,-66.7747,169.449,11.517
55225,2,40.7015,-66.7747,167.477,11.54
55225,2,40.7015,-66.7747,165.758,11.561
55225,2,40.7015,-66.7747,164.367,11.567
55225,2,40.7015,-66.7747,163.014,11.57
55225,2,40.7015,-66.7747,161.312,11.628
55225,2,40.7015,-66.7747,159.279,11.639
55225,2,40.7015,-66.7747,157.135,11.663
55225,2,40.7015,-66.7747,155.339,11.693
55225,2,40.7015,-66.7747,153.561,11.722
55225,2,40.7015,-66.7747,151.717,11.733
55225,2,40.7015,-66.7747,150.217,11.735
55225,2,40.7015,-66.7747,149.169,11.736
55225,2,40.7015,-66.7747,148.434,11.74
55225,2,40.7015,-66.7747,147.63,11.758
55225,2,40.7015,-66.7747,146.562,11.775
55225,2,40.7015,-66.7747,145.143,11.807
55225,2,40.7015,-66.7747,143.495,11.826
55225,2,40.7015,-66.7747,141.84,11.82
55225,2,40.7015,-66.7747,140.421,11.806
55225,2,40.7015,-66.7747,139.264,11.781
55225,2,40.7015,-66.7747,138.167,11.737
55225,2,40.7015,-66.7747,136.876,11.67
55225,2,40.7015,-66.7747,135.68,11.639
55225,2,40.7015,-66.7747,134.889,11.635
55225,2,40.7015,-66.7747,134.385,11.632
55225,2,40.7015,-66.7747,134.089,11.633
55225,2,40.7015,-66.7747,133.742,11.646
55225,2,40.7015,-66.7747,128.286,11.713
55225,2,40.7015,-66.7747,126.491,11.653
55225,2,40.7015,-66.7747,124.451,11.373
55225,2,40.7015,-66.7747,122.127,11.169
55225,2,40.7015,-66.7747,119.84,11.002
55225,2,40.7015,-66.7747,117.877,10.878
55225,2,40.7015,-66.7747,116.253,10.756
55225,2,40.7015,-66.7747,114.76,10.618
55225,2,40.7015,-66.7747,113.188,10.523
55225,2,40.7015,-66.7747,111.255,10.47
55225,2,40.7015,-66.7747,108.977,10.437
55225,2,40.7015,-66.7747,106.562,10.321
55225,2,40.7015,-66.7747,104.38,9.946
55225,2,40.7015,-66.7747,102.65,9.806
55225,2,40.7015,-66.7747,101.155,9.729
