MAC_ADDRESS,SERIAL_NUMBER
"F0:5E:CD:25:A2:1D ",2406617
"F0:5E:CD:25:A3:66 ",2406618
F0:5E:CD:25:9E:0A,2406702
F0:5E:CD:25:9E:55,2406703
F0:5E:CD:25:9E:3F,2406704
F0:5E:CD:25:9C:A0,2406705
F0:5E:CD:25:9D:93,2406706
F0:5E:CD:25:9E:67,2407707
F0:5E:CD:25:9C:9B,2407708
F0:5E:CD:25:9E:3C,2407709
F0:5E:CD:25:9E:2A,2407711
F0:5E:CD:25:9E:71,2409712
F0:5E:CD:25:9E:13,2409713
F0:5E:CD:25:94:25,2409715
F0:5E:CD:25:9E:47,2409716
F0:5E:CD:25:9E:54,2409717
F0:5E:CD:25:9E:32,2409718
F0:5E:CD:25:9E:10,2409719
F0:5E:CD:25:92:C3,2409720
F0:5E:CD:25:9E:37,2409721
F0:5E:CD:25:A2:68,2410750
F0:5E:CD:25:9E:4D,2410751
F0:5E:CD:25:9E:4C,2410752
F0:5E:CD:25:A3:6E,2410753
F0:5E:CD:25:A4:43,2410754
F0:5E:CD:25:A4:14,2410755
F0:5E:CD:25:A4:10,2410756
F0:5E:CD:25:A3:05,2410757
F0:5E:CD:25:A0:63,2410758
F0:5E:CD:25:A2:6C,2410759
F0:5E:CD:25:A4:36,2410760
F0:5E:CD:25:A3:49,2410761
F0:5E:CD:25:A3:09,2410762
F0:5E:CD:25:A2:7E,2410763
F0:5E:CD:25:A3:61,2410764
F0:5E:CD:25:9C:BD,2411601
F0:5E:CD:25:9E:39,2411602
F0:5E:CD:25:9E:50,2411603
F0:5E:CD:25:9E:0D,2411604
D0:2E:AB:D9:33:95,2411605
D0:2E:AB:D9:2D:7C,2411606
D0:2E:AB:D9:BC:56,2411607
F0:5E:CD:25:9E:21,2411608
D0:2E:AB:D9:BB:6E,2411609
F0:5E:CD:25:9D:B0,2411610
F0:5E:CD:25:9E:45,2411611
F0:5E:CD:25:9D:F3,2411612
D0:2E:AB:D9:32:BF,2411613
D0:2E:AB:D9:29:76,2411614
D0:2E:AB:D9:BC:45,2411615
F0:5E:CD:25:9C:AB,2411616
D0:2E:AB:D9:33:B9,2411617
F0:5E:CD:25:A4:20,2411618
D0:2E:AB:D8:C6:3A,2411619
F0:5E:CD:25:9E:1C,2411620
F0:5E:CD:25:9D:F0,2411621
F0:5E:CD:25:9B:D4,2411622
D0:2E:AB:D9:32:64,2411623
F0:5E:CD:25:9E:3E,2411624
F0:5E:CD:25:9E:46,2411625
F0:5E:CD:25:9D:ED,2411626
F0:5E:CD:25:9E:01,2411627
D0:2E:AB:D9:BD:45,2411628
D0:2E:AB:D9:BB:4D,2411629
F0:5E:CD:25:9D:B6,2411630
F0:5E:CD:25:A0:79,2411700
F0:5E:CD:25:A4:33,2411765
F0:5E:CD:25:A3:7E,2411766
F0:5E:CD:25:94:30,2411767
F0:5E:CD:25:A2:14,2411768
F0:5E:CD:25:A3:78,2411769
F0:5E:CD:25:A4:22,2411770
F0:5E:CD:25:9E:35,2411771
F0:5E:CD:25:A4:6D,2411772
F0:5E:CD:25:A4:2B,2411773
F0:5E:CD:25:34:8A,2411775
F0:5E:CD:25:A4:29,2411776
F0:5E:CD:25:A2:5F,2411777
F0:5E:CD:25:A4:5E,2411778
F0:5E:CD:25:95:D2,2411779
F0:5E:CD:25:34:9D,2411780
F0:5E:CD:25:A4:4E,2411781
F0:5E:CD:25:A4:4A,2411782
F0:5E:CD:25:A4:45,2411783
F0:5E:CD:25:9D:C1,2411784
F0:5E:CD:25:A4:58,2411785
F0:5E:CD:25:A4:52,2411786
F0:5E:CD:25:A4:1A,2411787
F0:5E:CD:25:A2:29,2411788
F0:5E:CD:25:94:28,2411789
F0:5E:CD:25:95:DC,2411791
F0:5E:CD:25:A4:57,2411792
F0:5E:CD:25:A4:42,2411793
F0:5E:CD:25:A4:39,2411794
F0:5E:CD:25:94:2C,2411795
F0:5E:CD:25:A2:20,2411796
F0:5E:CD:25:92:A1,2411797
F0:5E:CD:25:A2:35,2411798
F0:5E:CD:25:A4:07,2411799
F0:5E:CD:25:9E:0B,2412600
D0:2E:AB:D9:2E:A3,2412601
F0:5E:CD:25:9E:3B,2412602
F0:5E:CD:25:9D:D6,2412603
F0:5E:CD:25:9C:F3,2412604
D0:2E:AB:D9:BC:06,2412605
D0:2E:AB:D9:2F:A8,2412606
D0:2E:AB:D9:2B:60,2412607
D0:2E:AB:D9:21:DD,2412608
F0:5E:CD:25:9E:42,2412609
F0:5E:CD:25:9C:A5,2412610
F0:5E:CD:25:9E:1B,2412611
F0:5E:CD:25:9E:5E,2412612
F0:5E:CD:25:9E:4E,2412613
F0:5E:CD:25:9E:28,2412614
D0:2E:AB:D9:E9:0F,2412615
D0:2E:AB:D9:2D:80,2412616
D0:2E:AB:D9:2B:66,2412617
F0:5E:CD:25:A0:7C,2412618
F0:5E:CD:25:A1:0D,2412619
F0:5E:CD:25:A4:09,2412620
F0:5E:CD:25:34:A6,2412621
F0:5E:CD:25:A4:12,2412622
F0:5E:CD:25:A4:60,2412623
F0:5E:CD:25:A4:16,2412624
F0:5E:CD:25:A4:1E,2412625
F0:5E:CD:25:A1:46,2412626
F0:5E:CD:25:A1:05,2412627
F0:5E:CD:25:A4:67,2412628
F0:5E:CD:25:A4:71,2412629
F0:5E:CD:25:A2:4B,2412700
F0:5E:CD:25:A2:57,2412701
F0:5E:CD:25:A3:73,2412702
F0:5E:CD:25:A0:68,2412703
F0:5E:CD:25:A3:16,2412704
F0:5E:CD:25:A4:4F,2412705
F0:5E:CD:25:A3:14,2412706
F0:5E:CD:25:A0:7F,2412707
F0:5E:CD:25:A3:4C,2412709
F0:5E:CD:25:A3:7F,2412710
F0:5E:CD:25:A4:5C,2412711
F0:5E:CD:25:A3:21,2412712
F0:5E:CD:25:A3:18,2412713
F0:5E:CD:25:A4:49,2412714
F0:5E:CD:25:9D:AD,2412715
