"tow","date","avg_temp","latitude","longitude","f_temp","f_lat","f_lon","diff_temp_F","scalecolor"
54962,"2026-04-04",11.447166,40.0533,-71.1398,8.6964260124194,40.048,-71.1,-4.95133197764508,"#BF593BFF"
54963,"2026-04-04",7.761,40.2296,-68.2977,6.03981797809948,40.234,-68.3,-3.09812763942094,"#D1917BFF"
55050,"2026-04-04",9.633667,36.704,-74.9788,11.4422686393965,36.708,-75.016,3.2554829509137,"#76AABEFF"
55052,"2026-04-04",9.627,36.703,-74.9778,11.4422686393965,36.708,-75.016,3.2674835509137,"#76AABEFF"
55054,"2026-04-04",9.622,36.7037,-74.9775,11.4422686393965,36.708,-75.016,3.2764835509137,"#76AABEFF"
55065,"2026-04-04",9.5104,36.78732,-74.919,11.2711771906527,36.789,-74.895,3.16939894317479,"#7AABBEFF"
55068,"2026-04-04",9.329,36.8867,-74.9315,10.9307320582787,36.878,-74.884,2.8831177049017,"#86B1C0FF"
55071,"2026-04-05",2.97,44.2711,-68.1085,3.11508848230435,44.289,-68.074,0.261159268147829,"#E8E6E6FF"
55083,"2026-04-05",3.2068334,44.047,-68.2258,3.15285920459013,44.042,-68.255,-0.0971535517377617,"#F0EAE9FF"
55072,"2026-04-06",4.8341537,40.22716,-73.2798,4.2048600958703,40.248,-73.296,-1.13272848743345,"#E4CCC5FF"
55073,"2026-04-06",4.836,40.212585,-73.2732,4.19171281253983,40.199,-73.245,-1.15971693742831,"#E3C9C1FF"
55074,"2026-04-06",5.2013335,40.160267,-73.2703,4.09226411373272,40.16,-73.309,-1.9963248952811,"#DCB2A4FF"
55075,"2026-04-06",5.1394444,40.16231,-73.2716,4.09226411373272,40.16,-73.309,-1.8849245152811,"#DCB4A7FF"
55076,"2026-04-06",5.0874166,40.16621,-73.2691,4.09226411373272,40.16,-73.309,-1.7912744752811,"#DDB7ABFF"
55077,"2026-04-06",4.9856668,40.177467,-73.274,4.19171281253983,40.199,-73.245,-1.42911717742831,"#E1C3B9FF"
55085,"2026-04-04",4.1823335,43.8773,-68.2338,5.11577164910981,43.905,-68.224,1.68018866839766,"#B5C8CEFF"
55086,"2026-04-04",3.5204334,43.1766,-70.2902,3.91725184943325,43.189,-70.284,0.714273208979847,"#D9DDDFFF"
55090,"2026-04-06",3.76935,43.1453,-70.2723,4.25891924641143,43.14,-70.233,0.881224643540577,"#D3D9DCFF"
55091,"2026-04-07",3.635271,42.39734,-70.383,3.30188387400306,42.401,-70.435,-0.600096826794491,"#E9DBD7FF"
55092,"2026-04-07",3.4301667,42.400627,-70.383,3.30188387400306,42.401,-70.435,-0.23090908679449,"#EEE7E5FF"
55108,"2026-04-04",3.209,44.4308,-67.0532,3.58138744593864,44.434,-67.039,0.670297402689549,"#D9DDDFFF"
55109,"2026-04-05",4.179167,43.8762,-68.2365,5.00607710518565,43.905,-68.224,1.48843818933417,"#BDCCD2FF"
55116,"2026-04-04",4.539417,43.5085,-69.5131,4.01272544904392,43.515,-69.544,-0.948044791720946,"#E6D2CDFF"
55110,"2026-04-07",3.6491666,42.39744,-70.383,3.30188387400306,42.401,-70.435,-0.625108906794487,"#E9DBD7FF"
55111,"2026-04-07",3.4301667,42.400627,-70.383,3.30188387400306,42.401,-70.435,-0.23090908679449,"#EEE7E5FF"
55098,"2026-04-07",3.65275,42.01055,-70.47395,3.22716547885305,42,-70.451,-0.766052138064516,"#E7D5CFFF"
55099,"2026-04-07",3.718,42.00875,-70.4753,3.22716547885305,42,-70.451,-0.883502138064514,"#E6D2CDFF"
55100,"2026-04-07",3.6875,42.0067,-70.4776,3.22716547885305,42,-70.451,-0.828602138064518,"#E7D5CFFF"
55103,"2026-04-07",3.47575,42.0131,-70.4788,3.22716547885305,42,-70.451,-0.447452138064513,"#ECE1DEFF"
55104,"2026-04-07",3.5494,42.0174,-70.4821,3.22716547885305,42,-70.451,-0.580022138064514,"#E9DBD7FF"
55107,"2026-04-07",3.849182,42.002,-70.49955,3.22716547885305,42,-70.451,-1.11962973806452,"#E4CCC5FF"
55117,"2026-04-06",3.8731666,42.9144,-70.709,3.503893489861,42.875,-70.711,-0.664691598250208,"#E8D8D3FF"
55119,"2026-04-06",3.5675,42.8543,-70.5773,3.28821292653397,42.863,-70.591,-0.502716732238852,"#EBDEDBFF"
55121,"2026-04-06",3.5544167,43.11035,-70.2877,4.05904947816023,43.102,-70.301,0.908339000688414,"#D3D9DCFF"
55124,"2026-04-05",4.06625,41.3232,-71.0996,4.03912375895541,41.305,-71.116,-0.0488272338802673,"#F1ECEBFF"
