tow,date,avg_temp,latitude,longitude,NECOFS_spatial_index,NECOFS_temporal_index,forecast_temp,diff_temp
55071,2026-04-06,2.937888883333334,44.2711,-68.1085,54386,0,3.224392,-0.2865030539225253
55071,2026-04-07,2.877395416666667,44.2711,-68.10850000000002,54386,24,3.2720885,-0.3946931110127765
55072,2026-04-06,4.82207685,40.22,-73.2798,29877,0,6.4731336,-1.6510567139953611
55073,2026-04-06,4.845708500000001,40.222758999999996,-73.2732,29877,0,6.4731336,-1.6274250639953607
55074,2026-04-06,5.11566675,40.1617335,-73.2703,29217,0,7.3625145,-2.2468477458496094
55075,2026-04-06,5.1394444,40.16231,-73.2716,29217,0,7.3625145,-2.223070095849609
55076,2026-04-06,5.0874166,40.16621,-73.2691,29217,0,7.3625145,-2.2750978958496093
55077,2026-04-06,4.9856668,40.177467,-73.274,29877,0,6.4731336,-1.4874667639953616
55083,2026-04-06,3.2195833041666666,44.047,-68.2258,48044,0,3.3279366,-0.10835334515584316
55083,2026-04-07,3.2705424272727273,44.047000000000004,-68.22580000000002,48044,24,3.3387313,-0.06818886163718485
55085,2026-04-06,4.241263879166667,43.8773,-68.2338,45760,0,4.060736,0.18052769981485994
55085,2026-04-07,4.210534933333333,43.8773,-68.2338,45760,24,4.174863,0.035672071700032504
55085,2026-04-08,4.079557669230769,43.8773,-68.23379999999999,45760,48,4.371922,-0.2923643469130299
55086,2026-04-06,3.638303454166666,43.1766,-70.2902,56428,0,4.1024942,-0.4641907856404628
55086,2026-04-07,3.7661277833333338,43.1766,-70.2902,56428,24,4.1381507,-0.37202290865275023
55086,2026-04-08,3.6554656846153843,43.1766,-70.29020000000001,56428,48,4.0952787,-0.43981305531381487
55089,2026-04-06,3.9123472291666666,43.7911,-69.8802,106677,0,3.904437,0.007910164042154832
55089,2026-04-07,3.7655416791666667,43.7911,-69.8802,106677,24,3.9508808,-0.18533908674825028
55089,2026-04-08,3.757666657142857,43.791100000000014,-69.88020000000003,106677,48,3.919001,-0.1613344453046528
55090,2026-04-06,3.693519445833333,43.1453,-70.2723,55268,0,4.463774,-0.7702547584208173
55090,2026-04-07,3.8613763958333336,43.1453,-70.2723,55268,24,4.4172354,-0.55585897861735
55090,2026-04-08,3.861505553333333,43.145300000000006,-70.2723,55268,48,4.385803,-0.5242976693229169
55091,2026-04-07,3.635271,42.39734,-70.383,66167,24,3.824539,-0.18926794615173348
55092,2026-04-07,3.4301667,42.400627,-70.383,66167,24,3.824539,-0.3943722461517334
55095,2026-04-07,3.924414,42.38507,-70.4153,69214,24,3.3629391,0.5614748806610108
55098,2026-04-07,3.65275,42.01055,-70.47395,89203,24,3.0313358,0.6214141693115236
55099,2026-04-07,3.718,42.00875,-70.4753,89203,24,3.0313358,0.6866641693115234
55100,2026-04-07,3.6875,42.0067,-70.4776,89203,24,3.0313358,0.6561641693115234
55103,2026-04-07,3.47575,42.0131,-70.4788,89203,24,3.0313358,0.44441416931152355
55104,2026-04-07,3.5494,42.0174,-70.4821,89202,24,3.0601468,0.4892531913757323
55107,2026-04-07,3.849182,42.002,-70.49955,90864,24,3.2164938,0.632688155014038
55108,2026-04-06,3.2938784916666664,44.4308,-67.0532,48794,0,3.4324987,-0.13862020179952017
55108,2026-04-07,3.2750274615384614,44.43079999999999,-67.05320000000003,48794,24,3.1740553,0.10097212363257757
55109,2026-04-06,4.241263879166667,43.876200000000004,-68.2365,45760,0,4.060736,0.18052769981485994
55109,2026-04-07,4.210534933333333,43.876200000000004,-68.2365,45760,24,4.174863,0.035672071700032504
55109,2026-04-08,4.079557669230769,43.8762,-68.23649999999999,45760,48,4.371922,-0.2923643469130299
55110,2026-04-07,3.6491666,42.39744,-70.383,66167,24,3.824539,-0.17537234615173336
55111,2026-04-07,3.4301667,42.400627,-70.383,66167,24,3.824539,-0.3943722461517334
55114,2026-04-07,3.950476,42.384895,-70.4153,69214,24,3.3629391,0.5875368806610108
55116,2026-04-06,4.394548641666667,43.5085,-69.5131,52214,0,5.471921,-1.077372325435384
55116,2026-04-07,4.765857128571429,43.50850000000001,-69.5131,52214,24,5.4665136,-0.7006565051565987
55117,2026-04-06,3.753381941666667,42.9144,-70.709,77416,0,3.9656794,-0.21229746545308403
55117,2026-04-07,3.8317638791666666,42.9144,-70.709,77416,24,4.0005054,-0.1687415682210287
55117,2026-04-08,3.789354175,42.9144,-70.709,77416,48,4.0686154,-0.2792612615539549
55117,2026-04-09,3.806821428571428,42.9144,-70.70900000000003,77416,72,4.1483736,-0.34155217524937287
55119,2026-04-06,3.5675069208333334,42.8543,-70.5773,66136,0,3.7907827,-0.22327576921488435
55119,2026-04-07,3.5911597208333332,42.8543,-70.5773,66136,24,3.7873201,-0.19616041619059255
55119,2026-04-08,3.591833333333333,42.8543,-70.5773,66136,48,3.8114789,-0.2196455198923748
55119,2026-04-09,3.5836298315789477,42.854299999999995,-70.57729999999998,66136,72,3.821991,-0.23836113521792734
55121,2026-04-06,3.7008888916666667,43.110350000000004,-70.2877,56430,0,4.3056536,-0.6047646804158529
55121,2026-04-07,3.7330104,43.110350000000004,-70.2877,56430,24,4.3056574,-0.5726469867797852
55121,2026-04-08,3.734052058333333,43.110350000000004,-70.2877,56430,48,4.2713757,-0.5373235977945967
55121,2026-04-09,3.7697708000000008,43.110350000000004,-70.28770000000002,56430,72,4.2173033,-0.44753247606201096
55124,2026-04-06,3.9217126791666668,41.3232,-71.0996,58617,0,4.354934,-0.4332215363789875
55124,2026-04-07,3.866375,41.3232,-71.0996,58617,24,4.110879,-0.24450394439697254
55124,2026-04-08,4.095989583333333,41.3232,-71.0996,58617,48,4.261022,-0.16503250757853216
55124,2026-04-09,4.4117395833333335,41.3232,-71.0996,58617,72,4.365658,0.04608177693684912
55124,2026-04-10,4.554187499999999,41.3232,-71.0996,58617,96,4.3099313,0.24425622177123962
