ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2025-09-02T11:19:19.000Z,10.62,102.49,13.73,80.00
2025-09-02T11:34:19.000Z,9.53,87.59,11.55,99.00
2025-09-02T11:49:19.000Z,9.56,87.65,11.47,99.00
2025-09-02T12:04:19.000Z,9.57,87.88,11.50,99.00
2025-09-02T12:19:19.000Z,9.60,88.24,11.56,99.00
2025-09-02T12:34:19.000Z,9.67,89.16,11.68,99.00
2025-09-02T12:49:19.000Z,9.62,88.67,11.68,99.00
2025-09-02T13:04:19.000Z,9.62,88.72,11.72,99.00
2025-09-02T13:19:19.000Z,9.61,88.52,11.67,99.00
2025-09-02T13:34:19.000Z,9.53,87.64,11.57,99.00
2025-09-02T13:49:19.000Z,9.52,87.63,11.61,99.00
2025-09-02T14:04:19.000Z,9.56,87.86,11.58,99.00
2025-09-02T14:19:19.000Z,9.57,88.05,11.59,99.00
2025-09-02T14:34:19.000Z,9.54,87.80,11.61,99.00
2025-09-02T14:49:19.000Z,9.59,88.33,11.63,99.00
2025-09-02T15:04:19.000Z,9.51,87.38,11.55,99.00
2025-09-02T15:19:19.000Z,9.54,87.64,11.53,99.00
2025-09-02T15:34:19.000Z,9.55,87.47,11.39,99.00
2025-09-02T15:49:19.000Z,9.57,87.69,11.43,99.00
2025-09-02T16:04:19.000Z,9.57,87.76,11.46,99.00
2025-09-02T16:19:19.000Z,9.58,87.92,11.48,99.00
2025-09-02T16:34:19.000Z,9.60,88.16,11.53,99.00
2025-09-02T16:49:19.000Z,9.57,87.77,11.48,99.00
2025-09-02T17:04:19.000Z,9.56,87.63,11.45,99.00
2025-09-02T17:19:19.000Z,9.56,87.58,11.44,99.00
2025-09-02T17:34:19.000Z,9.55,87.56,11.45,99.00
2025-09-02T17:49:19.000Z,9.58,87.92,11.51,99.00
2025-09-02T18:04:19.000Z,9.55,87.61,11.46,99.00
2025-09-02T18:19:19.000Z,9.53,87.25,11.38,99.00
2025-09-02T18:34:19.000Z,9.52,87.05,11.33,99.00
2025-09-02T18:49:19.000Z,9.53,87.17,11.33,99.00
2025-09-02T19:04:19.000Z,9.57,87.56,11.36,99.00
2025-09-02T19:19:19.000Z,9.55,87.44,11.37,99.00
2025-09-02T19:34:19.000Z,9.56,87.51,11.37,99.00
2025-09-02T19:49:19.000Z,9.54,87.27,11.36,99.00
2025-09-02T20:04:19.000Z,9.53,87.15,11.35,99.00
2025-09-02T20:19:19.000Z,9.52,87.02,11.32,99.00
2025-09-02T20:34:19.000Z,9.51,86.94,11.33,99.00
2025-09-02T20:49:19.000Z,9.50,86.82,11.31,99.00
2025-09-02T21:04:19.000Z,9.52,87.00,11.32,99.00
2025-09-02T21:19:19.000Z,9.52,86.99,11.32,99.00
2025-09-02T21:34:19.000Z,9.48,86.64,11.31,99.00
2025-09-02T21:49:19.000Z,9.49,86.74,11.31,99.00
2025-09-02T22:04:19.000Z,9.49,86.77,11.32,99.00
2025-09-02T22:19:19.000Z,9.47,86.61,11.33,99.00
2025-09-02T22:34:19.000Z,9.47,86.58,11.34,99.00
2025-09-02T22:49:19.000Z,9.47,86.68,11.36,99.00
2025-09-02T23:04:19.000Z,9.53,87.17,11.35,99.00
2025-09-02T23:19:19.000Z,9.51,87.01,11.36,99.00
