ISO 8601 Time,Dissolved Oxygen (mg/l),Dissolved Oxygen (%),DO Temperature (C),Water Detect (%)
2025-09-13T09:20:59.000Z,10.69,100.02,12.36,73.00
2025-09-13T09:35:59.000Z,11.02,100.76,11.33,72.00
2025-09-13T09:50:59.000Z,9.66,90.29,12.29,99.00
2025-09-13T10:05:59.000Z,9.64,90.07,12.30,99.00
2025-09-13T10:20:59.000Z,9.61,89.77,12.28,99.00
2025-09-13T10:35:59.000Z,9.61,89.84,12.29,99.00
2025-09-13T10:50:59.000Z,9.62,89.82,12.27,99.00
2025-09-13T11:05:59.000Z,9.63,90.01,12.30,99.00
2025-09-13T11:20:59.000Z,9.64,90.32,12.39,99.00
2025-09-13T11:35:59.000Z,9.61,89.78,12.29,99.00
2025-09-13T11:50:59.000Z,9.62,89.82,12.27,99.00
2025-09-13T12:05:59.000Z,9.62,89.96,12.30,99.00
2025-09-13T12:20:59.000Z,9.63,90.08,12.31,99.00
2025-09-13T12:35:59.000Z,9.65,90.38,12.41,99.00
2025-09-13T12:50:59.000Z,9.66,90.50,12.38,99.00
2025-09-13T13:05:59.000Z,9.62,90.01,12.32,99.00
2025-09-13T13:20:59.000Z,9.64,90.04,12.28,99.00
2025-09-13T13:35:59.000Z,9.65,90.24,12.30,99.00
2025-09-13T13:50:59.000Z,9.65,90.24,12.34,99.00
2025-09-13T14:05:59.000Z,9.67,90.60,12.39,99.00
2025-09-13T14:20:59.000Z,9.63,90.12,12.36,99.00
2025-09-13T14:35:59.000Z,9.61,89.96,12.35,99.00
2025-09-13T14:50:59.000Z,9.63,90.12,12.33,99.00
2025-09-13T15:05:59.000Z,9.60,89.40,12.12,99.00
2025-09-13T15:20:59.000Z,9.61,89.31,12.06,99.00
2025-09-13T15:35:59.000Z,9.61,89.27,12.01,99.00
2025-09-13T15:50:59.000Z,9.61,89.18,11.99,99.00
2025-09-13T16:05:59.000Z,9.60,89.10,12.00,99.00
2025-09-13T16:20:59.000Z,9.62,89.32,12.01,99.00
2025-09-13T16:35:59.000Z,9.62,89.36,12.04,99.00
2025-09-13T16:50:59.000Z,9.61,89.32,12.04,99.00
2025-09-13T17:05:59.000Z,9.60,89.29,12.06,99.00
2025-09-13T17:20:59.000Z,9.63,89.63,12.10,99.00
2025-09-13T17:35:59.000Z,9.64,89.76,12.14,99.00
2025-09-13T17:50:59.000Z,9.64,89.83,12.17,99.00
2025-09-13T18:05:59.000Z,9.63,89.81,12.18,99.00
2025-09-13T18:20:59.000Z,9.65,90.06,12.21,99.00
2025-09-13T18:35:59.000Z,9.65,90.04,12.21,99.00
2025-09-13T18:50:59.000Z,9.68,90.29,12.20,99.00
2025-09-13T19:05:59.000Z,9.67,90.22,12.21,99.00
2025-09-13T19:20:59.000Z,9.67,90.24,12.22,99.00
2025-09-13T19:35:59.000Z,9.66,90.15,12.22,99.00
2025-09-13T19:50:59.000Z,9.63,89.71,12.16,99.00
2025-09-13T20:05:59.000Z,9.61,89.51,12.13,99.00
2025-09-13T20:20:59.000Z,9.62,89.66,12.15,99.00
2025-09-13T20:35:59.000Z,9.61,89.50,12.15,99.00
2025-09-13T20:50:59.000Z,9.64,89.89,12.21,99.00
2025-09-13T21:05:59.000Z,9.65,90.18,12.26,99.00
2025-09-13T21:20:59.000Z,9.63,89.88,12.22,99.00
2025-09-13T21:35:59.000Z,9.60,89.55,12.19,99.00
2025-09-13T21:50:59.000Z,9.61,89.70,12.24,99.00
2025-09-13T22:05:59.000Z,9.65,90.17,12.31,99.00
2025-09-13T22:20:59.000Z,9.64,90.33,12.40,99.00
2025-09-13T22:35:59.000Z,9.64,90.11,12.29,99.00
2025-09-13T22:50:59.000Z,9.61,89.93,12.32,99.00
2025-09-13T23:05:59.000Z,9.63,89.98,12.30,99.00
2025-09-13T23:20:59.000Z,9.62,90.02,12.34,99.00
2025-09-13T23:35:59.000Z,9.65,90.32,12.37,99.00
2025-09-13T23:50:59.000Z,9.65,90.36,12.38,99.00
2025-09-14T00:05:59.000Z,9.60,89.79,12.32,99.00
2025-09-14T00:20:59.000Z,9.61,89.89,12.31,99.00
2025-09-14T00:35:59.000Z,9.62,89.96,12.31,99.00
2025-09-14T00:50:59.000Z,9.64,90.18,12.34,99.00
2025-09-14T01:05:59.000Z,9.59,89.75,12.35,99.00
2025-09-14T01:20:59.000Z,9.60,89.83,12.33,99.00
2025-09-14T01:35:59.000Z,9.61,89.95,12.34,99.00
2025-09-14T01:50:59.000Z,9.60,89.88,12.36,99.00
2025-09-14T02:05:59.000Z,9.60,89.78,12.34,99.00
2025-09-14T02:20:59.000Z,9.58,89.65,12.33,99.00
2025-09-14T02:35:59.000Z,9.59,89.73,12.34,99.00
2025-09-14T02:50:59.000Z,9.58,89.57,12.31,99.00
2025-09-14T03:05:59.000Z,9.63,90.17,12.36,99.00
2025-09-14T03:20:59.000Z,9.64,90.35,12.43,99.00
2025-09-14T03:35:59.000Z,9.62,90.13,12.41,99.00
2025-09-14T03:50:59.000Z,9.60,89.67,12.25,99.00
2025-09-14T04:05:59.000Z,9.64,89.84,12.19,99.00
2025-09-14T04:20:59.000Z,9.61,89.51,12.15,99.00
2025-09-14T04:35:59.000Z,9.63,89.59,12.11,99.00
2025-09-14T04:50:59.000Z,9.62,89.61,12.13,99.00
2025-09-14T05:05:59.000Z,9.64,89.76,12.14,99.00
2025-09-14T05:20:59.000Z,9.63,89.82,12.19,99.00
2025-09-14T05:35:59.000Z,9.63,89.86,12.21,99.00
2025-09-14T05:50:59.000Z,9.64,90.06,12.25,99.00
2025-09-14T06:05:59.000Z,9.63,89.77,12.20,99.00
2025-09-14T06:20:59.000Z,9.64,89.90,12.20,99.00
2025-09-14T06:35:59.000Z,9.65,90.15,12.26,99.00
2025-09-14T06:50:59.000Z,9.64,90.00,12.26,99.00
2025-09-14T07:05:59.000Z,9.66,90.20,12.27,99.00
2025-09-14T07:20:59.000Z,9.66,90.16,12.22,99.00
2025-09-14T07:35:59.000Z,9.68,90.28,12.20,99.00
2025-09-14T07:50:59.000Z,9.66,90.11,12.22,99.00
2025-09-14T08:05:59.000Z,9.66,90.11,12.23,99.00
2025-09-14T08:20:59.000Z,9.64,89.97,12.22,99.00
2025-09-14T08:35:59.000Z,9.62,89.63,12.14,99.00
2025-09-14T08:50:59.000Z,9.63,89.60,12.10,99.00
2025-09-14T09:05:59.000Z,9.64,89.86,12.16,99.00
2025-09-14T09:20:59.000Z,9.65,89.89,12.14,99.00
2025-09-14T09:35:59.000Z,9.62,89.66,12.15,99.00
2025-09-14T09:50:59.000Z,9.65,89.98,12.18,99.00
2025-09-14T10:05:59.000Z,9.63,89.79,12.21,99.00
2025-09-14T10:20:59.000Z,9.59,89.44,12.20,99.00
2025-09-14T10:35:59.000Z,9.61,89.65,12.22,99.00
2025-09-14T10:50:59.000Z,9.60,89.66,12.25,99.00
2025-09-14T11:05:59.000Z,9.58,89.44,12.25,99.00
2025-09-14T11:20:59.000Z,9.60,89.65,12.26,99.00
2025-09-14T11:35:59.000Z,9.57,89.16,12.16,99.00
2025-09-14T11:50:59.000Z,9.59,89.34,12.15,99.00
2025-09-14T12:05:59.000Z,9.59,89.65,12.29,99.00
2025-09-14T12:20:59.000Z,9.61,89.92,12.34,99.00
2025-09-14T12:35:59.000Z,9.59,89.43,12.21,99.00
2025-09-14T12:50:59.000Z,9.59,89.47,12.20,99.00
2025-09-14T13:05:59.000Z,9.60,89.58,12.22,99.00
