tow,date,avg_temp,latitude,longitude,Doppio_spatial_index,Doppio_temporal_index,forecast_temp,diff_temp
50248,2025-12-15,7.472583387499999,42.9417,-70.4323,23384,69131,6.7632533382645486,0.7093300492354508
50248,2025-12-16,7.493617507142857,42.94169999999998,-70.43229999999997,23384,69131,6.7632533382645486,0.7303641688783085
50249,2025-12-15,8.125784583333333,42.6077,-70.3753,22172,69131,8.160216802827087,-0.034432219493753635
50249,2025-12-16,8.121544533333335,42.60770000000001,-70.37530000000001,22172,69131,8.160216802827087,-0.0386722694937518
50250,2025-12-15,7.8217917041666665,43.95680000000001,-68.1764,22689,69131,7.6065092287077345,0.21528247545893198
50250,2025-12-16,7.824922219999999,43.95680000000001,-68.17640000000003,22689,69131,7.6065092287077345,0.2184129912922641
50251,2025-12-15,7.8217917041666665,43.95680000000001,-68.1764,22689,69131,7.6065092287077345,0.21528247545893198
50251,2025-12-16,7.824922219999999,43.95680000000001,-68.17640000000003,22689,69131,7.6065092287077345,0.2184129912922641
50252,2025-12-15,8.129694458333333,42.6216,-70.4021,22413,69131,8.166962701382518,-0.0372682430491853
50252,2025-12-16,8.032175972222223,42.621599999999994,-70.4021,22413,69131,8.166962701382518,-0.13478672916029488
50256,2025-12-15,7.734173608333333,43.6001,-69.7796,24365,69131,8.47197117681767,-0.7377975684843365
50256,2025-12-16,7.6887803272727275,43.6001,-69.77960000000002,24365,69131,8.47197117681767,-0.7831908495449422
50257,2025-12-16,7.5535,41.425319,-71.4159,20456,69131,nan,
50258,2025-12-16,8.021464250000001,41.3105425,-71.4031,19971,69131,18.240163927391492,-10.218699677391491
50260,2025-12-16,8.171427,41.28824666666666,-71.4102,19971,69131,18.240163927391492,-10.068736927391493
50264,2025-12-15,8.085812416666668,44.0456,-68.2254,23173,69131,9.385935514855483,-1.3001230981888146
50264,2025-12-16,7.970367570588235,44.0456,-68.2254,23173,69131,9.385935514855483,-1.4155679442672477
50265,2025-12-15,7.8217917041666665,43.962799999999994,-68.1723,22689,69131,7.6065092287077345,0.21528247545893198
50265,2025-12-16,7.824922219999999,43.96280000000001,-68.17229999999998,22689,69131,7.6065092287077345,0.2184129912922641
50266,2025-12-15,6.254321525000001,42.0452,-70.24,20231,69131,9.118006970461765,-2.8636854454617646
50266,2025-12-16,5.831213360000001,42.04520000000001,-70.24,20231,69131,9.118006970461765,-3.286793610461764
50267,2025-12-15,10.03721875,40.204,-68.4602,11519,69131,5.1574586180327895,4.87976013196721
50267,2025-12-16,10.547520833333332,40.204,-68.4602,11519,69131,5.1574586180327895,5.390062215300542
50267,2025-12-17,10.614011904761904,40.203999999999986,-68.4602,11519,69131,5.1574586180327895,5.456553286729115
50269,2025-12-15,7.6684861374999995,42.8664,-70.4983,23141,69131,5.917285723457977,1.7512004140420228
50269,2025-12-16,7.554201412499999,42.8664,-70.4983,23141,69131,5.917285723457977,1.6369156890420227
50269,2025-12-17,7.596069449999999,42.8664,-70.4983,23141,69131,5.917285723457977,1.6787837265420222
50269,2025-12-18,7.642833253846153,42.8664,-70.49829999999999,23141,69131,5.917285723457977,1.7255475303881767
50270,2025-12-15,6.166312529166667,43.57435,-70.1079,24845,69131,11.946845943460268,-5.7805334142936005
50270,2025-12-16,6.910895895833334,43.57435,-70.1079,24845,69131,11.946845943460268,-5.035950047626934
50270,2025-12-17,6.992437570833334,43.57435,-70.1079,24845,69131,11.946845943460268,-4.954408372626934
50270,2025-12-18,6.892163371428571,43.574349999999995,-70.10789999999999,24845,69131,11.946845943460268,-5.054682572031697
50271,2025-12-15,7.964750008333334,42.4558,-70.6174,22168,69131,7.347256216031686,0.6174937923016479
50271,2025-12-16,7.716250012500001,42.4558,-70.6174,22168,69131,7.347256216031686,0.368993796468315
50271,2025-12-17,7.672326304166667,42.4558,-70.6174,22168,69131,7.347256216031686,0.3250700881349813
50271,2025-12-18,7.76908334375,42.4558,-70.6174,22168,69131,7.347256216031686,0.42182712771831454
50272,2025-12-15,7.781652729166667,43.9069,-68.122,22447,69131,7.473094688499839,0.3085580406668278
50272,2025-12-16,7.746201387500001,43.9069,-68.122,22447,69131,7.473094688499839,0.27310669900016205
50272,2025-12-17,7.697423595833333,43.9069,-68.122,22447,69131,7.473094688499839,0.22432890733349353
