tow,date,avg_temp,latitude,longitude,Doppio_spatial_index,Doppio_temporal_index,forecast_temp,diff_temp
50128,2025-12-08,10.5026,40.1652,-73.3831,20183,69131,18.012901106598086,-7.510301106598087
50130,2025-12-08,7.862176616666666,42.2887,-70.0843,20719,69131,8.15047107106275,-0.2882944543960839
50130,2025-12-09,8.033178621428572,42.2887,-70.0843,20719,69131,8.15047107106275,-0.11729244963417784
50132,2025-12-08,7.8303840041666675,42.2853,-70.0957,20719,69131,8.15047107106275,-0.32008706689608246
50132,2025-12-09,8.080067493333335,42.2853,-70.0957,20719,69131,8.15047107106275,-0.07040357772941519
50133,2025-12-08,7.31941665,43.5745,-70.1074,24845,69131,11.946845943460268,-4.627429293460268
50133,2025-12-09,6.9608611611111115,43.57449999999999,-70.10740000000001,24845,69131,11.946845943460268,-4.985984782349156
50135,2025-12-08,8.344725125000002,43.9806,-68.2246,22931,69131,8.183285020515145,0.16144010448485702
50135,2025-12-09,8.341646166666665,43.9806,-68.2246,22931,69131,8.183285020515145,0.15836114615152042
50138,2025-12-08,8.350614541666667,44.5849,-67.1846,23188,69131,11.40886280479708,-3.0582482631304124
50138,2025-12-09,8.218883466666668,44.58489999999998,-67.18460000000002,23188,69131,11.40886280479708,-3.189979338130412
50139,2025-12-09,9.266805333333332,41.301910666666664,-71.5264,20212,69131,18.210255658970112,-8.94345032563678
50140,2025-12-09,8.937258499999999,41.315247,-71.5532,20212,69131,18.210255658970112,-9.272997158970114
50142,2025-12-09,9.3602335,41.2734,-71.4427,19971,69131,18.240163927391492,-8.879930427391493
50171,2025-12-08,10.368965083333334,40.05544833333334,-70.44690000000001,14402,69131,7.347002452838634,3.0219626304947003
50172,2025-12-08,10.272675600000001,40.076314,-70.7015,14884,69131,8.718749437991951,1.5539261620080502
50173,2025-12-09,10.6655,40.91596,-70.7086,17554,69131,13.719400043457783,-3.0539000434577837
50187,2025-12-08,10.368965083333334,40.0554495,-70.44690000000001,14402,69131,7.347002452838634,3.0219626304947003
50188,2025-12-08,10.272675600000001,40.0763126,-70.7015,14884,69131,8.718749437991951,1.5539261620080502
50189,2025-12-09,0.6312515959999999,41.165375399999995,-70.6996,18283,69131,16.59130017076702,-15.96004857476702
50190,2025-12-08,7.764086879166666,40.4718,-68.1438,11767,69131,6.858560494226903,0.9055263849397637
50190,2025-12-09,8.139225695833334,40.4718,-68.1438,11767,69131,6.858560494226903,1.280665201606431
50190,2025-12-10,8.520285953846155,40.471800000000016,-68.14380000000003,11767,69131,6.858560494226903,1.6617254596192526
50191,2025-12-08,6.791652833333333,40.4681,-68.1429,11767,69131,6.858560494226903,-0.0669076608935697
50191,2025-12-09,7.021736058333334,40.4681,-68.1429,11767,69131,6.858560494226903,0.16317556410643164
50191,2025-12-10,7.746794375,40.4681,-68.1429,11767,69131,6.858560494226903,0.8882338807730976
