distance,forecast_temp,obs_temp,lat,lon,date,diff,color,scalecolor
1966.970873,6.898682458,6.894,40.09059411,-73.55378536,2024-04-07T01:19:07Z,0.004682458,blue,#FFFFFF
2237.605081,6.833096593,7.002,40.08123817,-73.43812273,2024-04-07T03:17:47Z,-0.168903407,red,#FFFFFF
2095.94566,6.706379551,6.748,40.0322924,-73.38663924,2024-04-07T03:53:52Z,-0.041620449,red,#FFFFFF
3214.740059,6.71557489,6.701,40.0322924,-73.38663924,2024-04-07T04:19:19Z,0.01457489,blue,#FFFFFF
2082.753781,6.475635218,6.485,40.01317827,-73.15556187,2024-04-07T06:04:50Z,-0.009364782,red,#FFFFFF
2513.756407,6.473854767,6.502,40.01317827,-73.15556187,2024-04-07T06:46:51Z,-0.028145233,red,#FFFFFF
3367.820691,6.471749097,6.526,40.01317827,-73.15556187,2024-04-07T07:54:07Z,-0.054250903,red,#FFFFFF
2155.127408,6.469881028,6.509,40.01317827,-73.15556187,2024-04-07T08:36:16Z,-0.039118972,red,#FFFFFF
3071.438493,6.468764321,6.526,40.01317827,-73.15556187,2024-04-07T09:39:03Z,-0.057235679,red,#FFFFFF
1965.576185,6.468841203,6.518,40.01317827,-73.15556187,2024-04-07T10:27:46Z,-0.049158797,red,#FFFFFF
3315.138253,6.469669599,6.542,40.01317827,-73.15556187,2024-04-07T11:29:17Z,-0.072330401,red,#FFFFFF
2484.416888,6.471759554,6.547,40.01317827,-73.15556187,2024-04-07T12:23:15Z,-0.075240446,red,#FFFFFF
4617.3818,6.597542639,6.53,40.02278684,-73.27108605,2024-04-07T13:28:48Z,0.067542639,blue,#FFFFFF
4281.392201,6.475298481,6.522,40.01317827,-73.15556187,2024-04-07T14:04:09Z,-0.046701519,red,#FFFFFF
3376.096324,6.478983145,6.527,40.01317827,-73.15556187,2024-04-07T15:06:22Z,-0.048016855,red,#FFFFFF
2713.551539,6.48196309,6.495,40.01317827,-73.15556187,2024-04-07T15:43:33Z,-0.01303691,red,#FFFFFF
3971.283704,6.431097401,6.488,39.96411564,-73.10430624,2024-04-07T16:16:07Z,-0.056902599,red,#FFFFFF
607.9965557,6.432789287,6.462,39.96411564,-73.10430624,2024-04-07T16:47:17Z,-0.029210713,red,#FFFFFF
2189.649963,6.370748839,6.279,39.91502916,-73.05311661,2024-04-07T17:29:44Z,0.091748839,blue,#FFFFFF
1100.201637,6.368993092,6.254,39.91502916,-73.05311661,2024-04-07T18:17:04Z,0.114993092,blue,#FFFFFF
746.2680198,6.365678355,6.255,39.91502916,-73.05311661,2024-04-07T19:25:11Z,0.110678355,blue,#FFFFFF
3406.958654,6.362334841,6.303,39.91502916,-73.05311661,2024-04-07T20:06:14Z,0.059334841,blue,#FFFFFF
4009.282762,6.294033213,6.354,39.81678498,-72.95093495,2024-04-07T21:34:34Z,-0.059966787,red,#FFFFFF
4320.989863,6.294033213,6.349,39.81678498,-72.95093495,2024-04-07T22:11:22Z,-0.054966787,red,#FFFFFF
1899.303048,6.3198778,6.411,39.86591892,-73.00199288,2024-04-07T22:57:33Z,-0.0911222,red,#FFFFFF
3819.016097,6.226115749,6.381,39.81678498,-72.95093495,2024-04-07T23:43:17Z,-0.154884251,red,#FFFFFF
2558.38984,6.045891627,6.296,39.85606864,-72.88674078,2024-04-08T00:29:57Z,-0.250108373,red,#FFFFFF
3399.84283,6.043962657,6.376,39.85606864,-72.88674078,2024-04-08T01:14:15Z,-0.332037343,red,#FFFFFF
2607.412074,6.040670077,6.3,39.85606864,-72.88674078,2024-04-08T02:08:51Z,-0.259329923,red,#FFFFFF
2478.591872,6.037510032,6.306,39.85606864,-72.88674078,2024-04-08T03:03:27Z,-0.268489968,red,#FFFFFF
2375.385032,6.037510032,6.306,39.85606864,-72.88674078,2024-04-08T04:08:08Z,-0.268489968,red,#FFFFFF
2610.279502,6.028014659,6.297,39.85606864,-72.88674078,2024-04-08T04:56:37Z,-0.268985341,red,#FFFFFF
2729.643516,6.028014659,6.442,39.85606864,-72.88674078,2024-04-08T05:24:42Z,-0.413985341,red,#FFFFFF
2482.404125,6.019670741,6.309,39.85606864,-72.88674078,2024-04-08T06:10:07Z,-0.289329259,red,#FFFFFF
