tow_id,segment_type,time (UTC),latitude (degrees_north),longitude (degrees_east),depth (m),temperature (degree_C),sensor_type,model,data_provider
56046,3,2026-04-27T00:00:00Z,43.8439,-68.2223,157.06383,4.4721665,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T01:00:00Z,43.8439,-68.2223,156.72034,4.5,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T02:00:00Z,43.8439,-68.2223,156.141,4.5628333,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T03:00:00Z,43.8439,-68.2223,155.4475,4.4661665,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T04:00:00Z,43.8439,-68.2223,154.88083,4.402167,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T05:00:00Z,43.8439,-68.2223,154.513,4.498667,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T06:00:00Z,43.8439,-68.2223,154.442,4.8811665,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T07:00:00Z,43.8439,-68.2223,154.75267,5.0391665,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T08:00:00Z,43.8439,-68.2223,155.324,4.9965,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T09:00:00Z,43.8439,-68.2223,156.02567,4.8386664,LOWELL,TDO-1,eMOLT
56046,3,2026-04-27T10:00:00Z,43.8439,-68.2223,157.3916,4.9947,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T00:00:00Z,43.9044,-68.0658,193.27617,4.8871665,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T01:00:00Z,43.9044,-68.0658,192.87616,4.9005,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T02:00:00Z,43.9044,-68.0658,192.26683,4.921167,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T03:00:00Z,43.9044,-68.0658,191.56216,4.8873334,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T04:00:00Z,43.9044,-68.0658,190.97983,4.896333,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T05:00:00Z,43.9044,-68.0658,190.63283,4.897333,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T06:00:00Z,43.9044,-68.0658,190.59233,4.944667,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T07:00:00Z,43.9044,-68.0658,190.903,4.945,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T08:00:00Z,43.9044,-68.0658,191.48984,5.0358334,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T09:00:00Z,43.9044,-68.0658,192.227,5.069,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T10:00:00Z,43.9044,-68.0658,192.8745,5.061,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T11:00:00Z,43.9044,-68.0658,193.27933,5.075333,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T12:00:00Z,43.9044,-68.0658,193.35834,5.0408335,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T13:00:00Z,43.9044,-68.0658,193.10667,4.9746666,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T14:00:00Z,43.9044,-68.0658,192.55833,4.9485,LOWELL,TDO-1,eMOLT
56047,3,2026-04-27T15:00:00Z,43.9044,-68.0658,191.875,4.9183335,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T00:00:00Z,43.0948,-70.1178,98.4925,4.0363336,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T01:00:00Z,43.0948,-70.1178,98.326164,3.9918334,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T02:00:00Z,43.0948,-70.1178,97.86767,3.959,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T03:00:00Z,43.0948,-70.1178,97.26933,3.9676666,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T04:00:00Z,43.0948,-70.1178,96.6565,4.0215,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T05:00:00Z,43.0948,-70.1178,96.22083,4.07,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T06:00:00Z,43.0948,-70.1178,96.07267,4.1361666,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T07:00:00Z,43.0948,-70.1178,96.21933,4.2075,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T08:00:00Z,43.0948,-70.1178,96.64533,4.0505,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T09:00:00Z,43.0948,-70.1178,97.214,4.0656667,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T10:00:00Z,43.0948,-70.1178,97.8585,4.080167,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T11:00:00Z,43.0948,-70.1178,98.338165,4.1063333,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T12:00:00Z,43.0948,-70.1178,98.55517,4.073,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T13:00:00Z,43.0948,-70.1178,98.49333,4.0726666,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T14:00:00Z,43.0948,-70.1178,98.15366,4.0468335,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T15:00:00Z,43.0948,-70.1178,97.56084,4.0298333,LOWELL,TDO-1,eMOLT
56050,3,2026-04-27T16:00:00Z,43.0948,-70.1178,97.11575,4.013,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T00:00:00Z,43.8204,-68.0352,169.48666,5.025,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T01:00:00Z,43.8204,-68.0352,169.1265,5.005833,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T02:00:00Z,43.8204,-68.0352,168.52083,5.0055,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T03:00:00Z,43.8204,-68.0352,167.83017,5.013,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T04:00:00Z,43.8204,-68.0352,167.24884,5.0208335,LOWELL,TDO-1,eMOLT
56051,3,2026-04-27T05:00:00Z,43.8204,-68.0352,166.89633,5.0301666,LOWELL,TDO-1,eMOLT
